1112091  429175 431904 2 1  01/01/2014 1840 6 2 4 2 1 3 1 58 9 
1180869  430429 431025 3 2  01/08/2014 1430 1 2 1 1 1 3 1 69 9 
1180869  430429 431025 3 2  01/08/2014 1430 1 2 1 1 1 3 2 41 9 
11A0238  424660 427582 3 2  01/10/2014 817  1 1 1 1 1 3 1 35 9 
11A0238  424660 427582 3 2  01/10/2014 817  1 1 1 1 1 3 1 25 9 
11A0628  432917 425961 2 1  01/10/2014 1220 1 1 1 1 1 3 1 20 9 
11S1208  432248 427099 3 1  01/28/2014 1828 1 2 4 2 1 3 1 38 9 
1211556  426513 435659 1 1  01/28/2014 2000 6 1 1 1 3 3 1 23 9 
1221002  424112 428080 1 1  02/02/2014 1531 1 2 1 1 1 3 1 28 9 
1270266  430391 430939 4 2  02/07/2014 824  1 1 1 1 1 3 2 23 9 
1270266  430391 430939 4 2  02/07/2014 824  1 1 1 1 1 3 1 53 9 
12F1262  433137 433635 2 1  02/25/2014 1800 6 2 4 2 1 3 1 34 1 
12H1186  426045 427745 1 1  02/17/2014 1728 6 2 4 2 3 3 1 17 9 
12H1210  429147 431787 2 1  02/17/2014 1735 6 1 1 1 2 3 1 3  11
12H1381  425059 433376 2 1  02/17/2014 1905 4 2 4 2 2 3 2 56 9 
12I0039  430708 439230 1 1  02/18/2014 46   3 1 4 1 1 3 1 26 9 
12I0740  432436 434843 2 1  02/18/2014 1320 6 1 1 1 1 3 1 33 1 
12I0834  430306 434778 1 1  02/18/2014 1422 6 2 1 1 1 3 1 38 9 
12I1006  431896 434915 2 3  02/18/2014 1545 6 1 1 1 2 3 1 19 9 
12I1006  431896 434915 2 3  02/18/2014 1545 6 1 1 1 1 3 1 56 9 
12I1006  431896 434915 2 3  02/18/2014 1545 6 1 1 1 2 3 1 41 9 
12I1203  428282 433512 2 1  02/18/2014 1720 6 1 1 1 1 3 1 42 1 
12I1281  425763 435423 1 1  02/18/2014 1802 6 1 4 1 3 3 2 23 9 
12I1450  429387 434948 2 1  02/18/2014 1944 3 1 4 1 1 3 1 25 1 
12I1578  424145 430427 2 1  02/18/2014 2052 3 1 4 1 1 3 1 21 3 
12I1769  428836 440130 2 1  02/18/2014 2318 6 1 4 1 1 3 1 16 3 
12J0189  426677 431760 2 1  02/19/2014 655  3 1 4 1 1 3 1 23 1 
